Recording timestamp,Event,Event value,Eye movement type
0.0,RecordingStart,,Fixation
5.0,StimulusOnset,P1,Fixation
6.0,,,Fixation
14.0,,,Fixation
23.0,,,Fixation
31.0,,,Fixation
39.0,,,Fixation
48.0,,,Fixation
56.0,,,Fixation
64.0,,,Fixation
73.0,,,Fixation
81.0,,,Saccade
89.0,,,Saccade
98.0,,,Saccade
106.0,,,Saccade
114.0,,,Saccade
123.0,,,Saccade
131.0,,,Saccade
139.0,,,Saccade
148.0,,,Saccade
156.0,,,Fixation
164.0,,,Fixation
173.0,,,Fixation
181.0,,,Fixation
189.0,,,Fixation
198.0,,,Fixation
206.0,,,Fixation
214.0,,,Fixation
223.0,,,Fixation
231.0,,,Fixation
239.0,,,Fixation
248.0,,,Fixation
256.0,,,Fixation
264.0,,,Fixation
273.0,,,Fixation
281.0,,,Fixation
289.0,,,Fixation
298.0,,,Fixation
306.0,,,Fixation
314.0,,,Fixation
323.0,,,Fixation
331.0,,,Fixation
339.0,,,Fixation
348.0,,,Fixation
356.0,,,Fixation
364.0,,,Fixation
373.0,,,Fixation
381.0,,,Fixation
389.0,,,Fixation
398.0,,,Fixation
406.0,,,Fixation
414.0,,,Saccade
423.0,,,Saccade
431.0,,,Saccade
439.0,,,Saccade
448.0,,,Saccade
456.0,,,Saccade
464.0,,,Saccade
473.0,,,Saccade
481.0,,,Saccade
489.0,,,Saccade
498.0,,,Saccade
506.0,,,Saccade
514.0,,,Unclassified
523.0,,,Saccade
531.0,,,Saccade
539.0,,,Saccade
548.0,,,Fixation
556.0,,,Fixation
564.0,,,Fixation
573.0,,,Fixation
581.0,,,Fixation
589.0,,,Fixation
598.0,,,Fixation
606.0,,,Fixation
614.0,,,Fixation
623.0,,,Fixation
631.0,,,Fixation
639.0,,,Fixation
648.0,,,Fixation
656.0,,,Fixation
664.0,,,Fixation
673.0,,,Fixation
681.0,,,Fixation
689.0,,,Fixation
698.0,,,Fixation
706.0,,,Fixation
714.0,,,Fixation
723.0,,,Fixation
731.0,,,Fixation
739.0,,,Fixation
748.0,,,Fixation
756.0,,,Fixation
764.0,,,Fixation
773.0,,,Fixation
781.0,,,Saccade
789.0,,,Saccade
798.0,,,Saccade
806.0,,,Saccade
814.0,,,Saccade
823.0,,,Fixation
831.0,,,Fixation
839.0,,,Fixation
848.0,,,Fixation
856.0,,,Fixation
864.0,,,Fixation
873.0,,,Fixation
881.0,,,Fixation
889.0,,,Fixation
898.0,,,Fixation
906.0,,,Fixation
914.0,,,Fixation
923.0,,,Fixation
931.0,,,Fixation
939.0,,,Fixation
948.0,,,Fixation
956.0,,,Fixation
964.0,,,Fixation
973.0,,,Fixation
981.0,,,Fixation
989.0,,,Saccade
998.0,,,Saccade
1006.0,,,Saccade
1014.0,,,Saccade
1023.0,,,Saccade
1031.0,,,Saccade
1039.0,,,Saccade
1048.0,,,Fixation
1056.0,,,Fixation
1064.0,,,Fixation
1073.0,,,Fixation
1081.0,,,Fixation
1089.0,,,Fixation
1098.0,,,Fixation
1106.0,,,Fixation
1114.0,,,Fixation
1123.0,,,Fixation
1131.0,,,Fixation
1139.0,,,Fixation
1148.0,,,Fixation
1156.0,,,Fixation
1164.0,,,Fixation
1173.0,,,Fixation
1181.0,,,Saccade
1189.0,,,Saccade
1198.0,,,Saccade
1206.0,,,Fixation
1214.0,,,Fixation
1223.0,,,Fixation
1231.0,,,Fixation
1239.0,,,Fixation
1248.0,,,Fixation
1256.0,,,Fixation
1264.0,,,Fixation
1273.0,,,Fixation
1281.0,,,Fixation
1289.0,,,Fixation
1298.0,,,Fixation
1306.0,,,Fixation
1314.0,,,Fixation
1323.0,,,Fixation
1331.0,,,Fixation
1339.0,,,Fixation
1348.0,,,Fixation
1356.0,,,Fixation
1364.0,,,Fixation
1373.0,,,Fixation
1381.0,,,Fixation
1389.0,,,Fixation
1398.0,,,Fixation
1406.0,,,Fixation
1414.0,,,Fixation
1423.0,,,Fixation
1431.0,,,Fixation
1439.0,,,Fixation
1448.0,,,Fixation
1456.0,,,Fixation
1464.0,,,Fixation
1473.0,,,Fixation
1481.0,,,Fixation
1489.0,,,Fixation
1498.0,,,Fixation
1506.0,,,Fixation
1514.0,,,Fixation
1523.0,,,Fixation
1531.0,,,Fixation
1539.0,,,Fixation
1548.0,,,Fixation
1556.0,,,Fixation
1564.0,,,Fixation
1573.0,,,Fixation
1581.0,,,Fixation
1589.0,,,Fixation
1598.0,,,Fixation
1606.0,,,Fixation
