Recording timestamp,Event,Event value,Eye movement type
0.0,RecordingStart,,
9.0,StimulusOnset,P1,
46.0,,,Fixation
54.0,,,Fixation
63.0,,,Fixation
71.0,,,Fixation
79.0,,,Fixation
88.0,,,Fixation
96.0,,,Fixation
104.0,,,Fixation
113.0,,,Fixation
121.0,,,Fixation
129.0,,,Fixation
138.0,,,Fixation
146.0,,,Fixation
154.0,,,Fixation
163.0,,,Fixation
171.0,,,Fixation
179.0,,,Fixation
188.0,,,Fixation
196.0,,,Fixation
204.0,,,Fixation
213.0,,,Fixation
221.0,,,Fixation
229.0,,,Fixation
238.0,,,Fixation
246.0,,,Fixation
254.0,,,Fixation
263.0,,,Fixation
271.0,,,Fixation
279.0,,,Fixation
288.0,,,Fixation
296.0,,,Fixation
304.0,,,Fixation
313.0,,,Fixation
321.0,,,Fixation
329.0,,,Fixation
338.0,,,Fixation
346.0,,,Fixation
354.0,,,Fixation
363.0,,,Fixation
371.0,,,Fixation
379.0,,,Fixation
388.0,,,Fixation
396.0,,,Fixation
404.0,,,Fixation
413.0,,,Fixation
421.0,,,Fixation
429.0,,,Fixation
438.0,,,Fixation
446.0,,,Fixation
454.0,,,Fixation
463.0,,,Fixation
471.0,,,Fixation
479.0,,,Fixation
488.0,,,Fixation
496.0,,,Fixation
504.0,,,Fixation
513.0,,,Fixation
521.0,,,Fixation
529.0,,,Fixation
538.0,,,Fixation
546.0,,,Fixation
554.0,,,Fixation
563.0,,,Fixation
571.0,,,Fixation
579.0,,,Fixation
588.0,,,Fixation
596.0,,,Fixation
604.0,,,Fixation
613.0,,,Fixation
621.0,,,Fixation
629.0,,,Fixation
638.0,,,Fixation
646.0,,,Saccade
654.0,,,Saccade
663.0,,,Saccade
671.0,,,Saccade
679.0,,,Saccade
688.0,,,Saccade
696.0,,,Saccade
704.0,,,Fixation
713.0,,,Fixation
721.0,,,Fixation
729.0,,,Fixation
738.0,,,Fixation
746.0,,,Fixation
754.0,,,Fixation
763.0,,,Fixation
771.0,,,Fixation
779.0,,,Fixation
788.0,,,Fixation
796.0,,,Fixation
804.0,,,Fixation
813.0,,,Fixation
821.0,,,Fixation
829.0,,,Fixation
838.0,,,Fixation
846.0,,,Fixation
854.0,,,Saccade
863.0,,,Saccade
871.0,,,Saccade
879.0,,,Saccade
888.0,,,Fixation
896.0,,,Fixation
904.0,,,Fixation
913.0,,,Fixation
921.0,,,Fixation
929.0,,,Fixation
938.0,,,Fixation
946.0,,,Fixation
954.0,,,Fixation
963.0,,,Fixation
971.0,,,Fixation
979.0,,,Fixation
988.0,,,Fixation
996.0,,,Fixation
1004.0,,,Fixation
1013.0,,,Fixation
1021.0,,,Fixation
1029.0,,,Fixation
1038.0,,,Fixation
1046.0,,,Fixation
1054.0,,,Fixation
1063.0,,,Fixation
1071.0,,,Fixation
1079.0,,,Saccade
1088.0,,,Saccade
1096.0,,,Saccade
1104.0,,,Saccade
1113.0,,,Saccade
1121.0,,,Saccade
1129.0,,,Fixation
1138.0,,,Fixation
1146.0,,,Fixation
1154.0,,,Fixation
1163.0,,,Fixation
1171.0,,,Fixation
1179.0,,,Fixation
1188.0,,,Fixation
1196.0,,,Fixation
1204.0,,,Fixation
1213.0,,,Fixation
1221.0,,,Fixation
1229.0,,,Fixation
1238.0,,,Fixation
1246.0,,,Fixation
1254.0,,,Fixation
1263.0,,,Fixation
1271.0,,,Fixation
1279.0,,,Fixation
1288.0,,,Saccade
1296.0,,,Saccade
1304.0,,,Fixation
1313.0,,,Fixation
1321.0,,,Fixation
1329.0,,,Fixation
1338.0,,,Fixation
1346.0,,,Fixation
1354.0,,,Fixation
1363.0,,,Fixation
1371.0,,,Fixation
1379.0,,,Fixation
1388.0,,,Fixation
1396.0,,,Fixation
1404.0,,,Fixation
1413.0,,,Fixation
1421.0,,,Fixation
1429.0,,,Fixation
1438.0,,,Fixation
1446.0,,,Fixation
1454.0,,,Fixation
1463.0,,,Fixation
1471.0,,,Fixation
1479.0,,,Fixation
1488.0,,,Fixation
1496.0,,,Fixation
1504.0,,,Fixation
1513.0,,,Fixation
1521.0,,,Fixation
1529.0,,,Fixation
1538.0,,,Fixation
1546.0,,,Fixation
1554.0,,,Fixation
1563.0,,,Fixation
1571.0,,,Fixation
1579.0,,,Fixation
1588.0,,,Fixation
1596.0,,,Fixation
1604.0,,,Fixation
1613.0,,,Fixation
1621.0,,,Fixation
1629.0,,,Fixation
1638.0,,,Fixation
1646.0,,,Fixation
1654.0,,,Fixation
1663.0,,,Fixation
1671.0,,,Fixation
1679.0,,,Fixation
1688.0,,,Fixation
1696.0,,,Fixation
1704.0,,,Fixation
1713.0,,,Fixation
1721.0,,,Fixation
1729.0,,,Fixation
1738.0,,,Fixation
1746.0,,,Fixation
1754.0,,,Fixation
1763.0,,,Fixation
1771.0,,,Fixation
1779.0,,,Fixation
1788.0,,,Fixation
1796.0,,,Fixation
1804.0,,,Fixation
1813.0,,,Fixation
1821.0,,,Fixation
1829.0,,,Fixation
1838.0,,,Fixation
1846.0,,,Fixation
1854.0,,,Fixation
1863.0,,,Fixation
1871.0,,,Fixation
1879.0,,,Fixation
1888.0,,,Fixation
1896.0,,,Fixation
1904.0,,,Fixation
1913.0,,,Fixation
1921.0,,,Fixation
1929.0,,,Fixation
1938.0,,,Fixation
1946.0,,,Fixation
1954.0,,,Fixation
1963.0,,,Fixation
1971.0,,,Fixation
1979.0,,,Fixation
1988.0,,,Fixation
1996.0,,,Fixation
2004.0,,,Fixation
2013.0,,,Fixation
2021.0,,,Fixation
2029.0,,,Fixation
2038.0,,,Fixation
2046.0,,,Fixation
2054.0,,,Fixation
2063.0,,,Fixation
2071.0,,,Fixation
2079.0,,,Fixation
2088.0,,,Fixation
2096.0,,,Fixation
2104.0,,,Fixation
2113.0,,,Fixation
2121.0,,,Fixation
2129.0,,,Fixation
2138.0,,,Fixation
2146.0,,,Fixation
2154.0,,,Fixation
2163.0,,,Fixation
2171.0,,,Fixation
2179.0,,,Fixation
2188.0,,,Fixation
2196.0,,,Fixation
2204.0,,,Fixation
2213.0,,,Fixation
2221.0,,,Fixation
2229.0,,,Fixation
2238.0,,,Fixation
2246.0,,,Saccade
2254.0,,,Saccade
2263.0,,,Saccade
2271.0,,,Saccade
2279.0,,,Saccade
2288.0,,,Saccade
2296.0,,,Fixation
2304.0,,,Fixation
2313.0,,,Fixation
2321.0,,,Fixation
2329.0,,,Fixation
2338.0,,,Fixation
2346.0,,,Fixation
2354.0,,,Fixation
2363.0,,,Fixation
2371.0,,,Fixation
2379.0,,,Fixation
2388.0,,,Fixation
2396.0,,,Fixation
2404.0,,,Fixation
2413.0,,,Fixation
2421.0,,,Saccade
2429.0,,,Saccade
2438.0,,,Saccade
2446.0,,,Saccade
2454.0,,,Saccade
2463.0,,,Fixation
2471.0,,,Fixation
2479.0,,,Fixation
2488.0,,,Fixation
2496.0,,,Fixation
2504.0,,,Fixation
2513.0,,,Fixation
2521.0,,,Fixation
2529.0,,,Fixation
2538.0,,,Fixation
2546.0,,,Fixation
2554.0,,,Fixation
2563.0,,,Fixation
2571.0,,,Fixation
2579.0,,,Fixation
2588.0,,,Fixation
2596.0,,,Fixation
2604.0,,,Fixation
2613.0,,,Fixation
2621.0,,,Saccade
2629.0,,,Saccade
2638.0,,,Saccade
2646.0,,,Saccade
2654.0,,,Saccade
2663.0,,,Fixation
2671.0,,,Fixation
2679.0,,,Fixation
2688.0,,,Fixation
2696.0,,,Fixation
2704.0,,,Fixation
2713.0,,,Fixation
2721.0,,,Fixation
2729.0,,,Fixation
2738.0,,,Fixation
2746.0,,,Fixation
2754.0,,,Fixation
2763.0,,,Fixation
2771.0,,,Fixation
2779.0,,,Fixation
2788.0,,,Fixation
2796.0,,,Fixation
2804.0,,,Fixation
2813.0,,,Fixation
2821.0,,,Fixation
2829.0,,,Fixation
2838.0,,,Fixation
2846.0,,,Fixation
2854.0,,,Saccade
2863.0,,,Saccade
2871.0,,,Saccade
2879.0,,,Fixation
2888.0,,,Fixation
2896.0,,,Fixation
2904.0,,,Fixation
2913.0,,,Fixation
2921.0,,,Fixation
2929.0,,,Fixation
2938.0,,,Fixation
2946.0,,,Fixation
2954.0,,,Fixation
2963.0,,,Fixation
2971.0,,,Fixation
2979.0,,,Fixation
2988.0,,,Fixation
2996.0,,,Fixation
3004.0,,,Saccade
3013.0,,,Saccade
3021.0,,,Saccade
3029.0,,,Saccade
3038.0,,,Saccade
3046.0,,,Saccade
3054.0,,,Saccade
3063.0,,,Saccade
3071.0,,,Fixation
3079.0,,,Fixation
3088.0,,,Fixation
3096.0,,,Fixation
3104.0,,,Fixation
3113.0,,,Fixation
3121.0,,,Fixation
3129.0,,,Fixation
3138.0,,,Fixation
3146.0,,,Fixation
3154.0,,,Fixation
3163.0,,,Fixation
3171.0,,,Fixation
3180.0,,,Fixation
3188.0,,,Fixation
3196.0,,,Fixation
3204.0,,,Fixation
3213.0,,,Fixation
3221.0,,,Saccade
3230.0,,,Saccade
3238.0,,,Saccade
3246.0,,,Fixation
3255.0,,,Fixation
3263.0,,,Fixation
3271.0,,,Fixation
3280.0,,,Fixation
3288.0,,,Fixation
3296.0,,,Fixation
3305.0,,,Fixation
3313.0,,,Fixation
3321.0,,,Fixation
3330.0,,,Fixation
3338.0,,,Fixation
3346.0,,,Fixation
3355.0,,,Fixation
3363.0,,,Fixation
3371.0,,,Fixation
3380.0,,,Fixation
3388.0,,,Fixation
3396.0,,,Fixation
3405.0,,,Fixation
3413.0,,,Fixation
3421.0,,,Fixation
3430.0,,,Fixation
3438.0,,,Fixation
3446.0,,,Fixation
3455.0,,,Fixation
3463.0,,,Fixation
3471.0,,,Fixation
3480.0,,,Saccade
3488.0,,,Saccade
3496.0,,,Saccade
3505.0,,,Saccade
3513.0,,,Unclassified
3521.0,,,Unclassified
3530.0,,,Saccade
3538.0,,,Fixation
3546.0,,,Fixation
3555.0,,,Fixation
3563.0,,,Fixation
3571.0,,,Fixation
3580.0,,,Fixation
3588.0,,,Fixation
3596.0,,,Fixation
3605.0,,,Fixation
3613.0,,,Fixation
3621.0,,,Fixation
3630.0,,,Fixation
3638.0,,,Fixation
3646.0,,,Fixation
3655.0,,,Fixation
3663.0,,,Fixation
3671.0,,,Fixation
3680.0,,,Fixation
3688.0,,,Fixation
3696.0,,,Fixation
3705.0,,,Fixation
3713.0,,,Fixation
3721.0,,,Fixation
3730.0,,,Saccade
3738.0,,,Saccade
3746.0,,,Fixation
3755.0,,,Fixation
3763.0,,,Fixation
3771.0,,,Fixation
3780.0,,,Fixation
3788.0,,,Fixation
3796.0,,,Fixation
3805.0,,,Fixation
3813.0,,,Fixation
3821.0,,,Fixation
3830.0,,,Fixation
3838.0,,,Fixation
3846.0,,,Fixation
3855.0,,,Fixation
3863.0,,,Fixation
3871.0,,,Fixation
3880.0,,,Fixation
3888.0,,,Fixation
3896.0,,,Fixation
3905.0,,,Fixation
3913.0,,,Saccade
3921.0,,,Saccade
3930.0,,,Saccade
3938.0,,,Saccade
3946.0,,,Fixation
3955.0,,,Fixation
3963.0,,,Fixation
3971.0,,,Fixation
3980.0,,,Fixation
3988.0,,,Fixation
3996.0,,,Fixation
4005.0,,,Fixation
4013.0,,,Fixation
4021.0,,,Fixation
4030.0,,,Fixation
4038.0,,,Fixation
4046.0,,,Fixation
4055.0,,,Fixation
4063.0,,,Fixation
4071.0,,,Fixation
4080.0,,,Fixation
4088.0,,,Fixation
4096.0,,,Fixation
4105.0,,,Fixation
4113.0,,,Fixation
4121.0,,,Fixation
4130.0,,,Fixation
4138.0,,,Fixation
4146.0,,,Fixation
4155.0,,,Fixation
4163.0,,,Fixation
4171.0,,,Fixation
4180.0,,,Fixation
4188.0,,,Saccade
4196.0,,,Saccade
4205.0,,,Saccade
4213.0,,,Saccade
4221.0,,,Fixation
4230.0,,,Fixation
4238.0,,,Fixation
4246.0,,,Fixation
4255.0,,,Fixation
4263.0,,,Fixation
4271.0,,,Fixation
4280.0,,,Fixation
4288.0,,,Fixation
4296.0,,,Fixation
4305.0,,,Fixation
4313.0,,,Fixation
4321.0,,,Fixation
4330.0,,,Fixation
4338.0,,,Fixation
4346.0,,,Fixation
4355.0,,,Fixation
4363.0,,,Fixation
4371.0,,,Fixation
4380.0,,,Fixation
4388.0,,,Fixation
4396.0,,,Fixation
4405.0,,,Fixation
4413.0,,,Fixation
4421.0,,,Fixation
4430.0,,,Fixation
4438.0,,,Saccade
4446.0,,,Saccade
4455.0,,,Saccade
4463.0,,,Fixation
4471.0,,,Fixation
4480.0,,,Fixation
4488.0,,,Fixation
4496.0,,,Fixation
4505.0,,,Fixation
4513.0,,,Fixation
4521.0,,,Fixation
4530.0,,,Fixation
4538.0,,,Fixation
4546.0,,,Fixation
4555.0,,,Fixation
4563.0,,,Fixation
4571.0,,,Fixation
4580.0,,,Fixation
4588.0,,,Fixation
4596.0,,,Fixation
4605.0,,,Fixation
4613.0,,,Fixation
4621.0,,,Fixation
4630.0,,,Fixation
4638.0,,,Fixation
4646.0,,,Fixation
4655.0,,,Fixation
4663.0,,,Fixation
4671.0,,,Fixation
4680.0,,,Fixation
4688.0,,,Fixation
4696.0,,,Fixation
4705.0,,,Fixation
4713.0,,,Fixation
4721.0,,,Fixation
4730.0,,,Fixation
4738.0,,,Fixation
4746.0,,,Fixation
4755.0,,,Fixation
4763.0,,,Fixation
4771.0,,,Fixation
4780.0,,,Fixation
4788.0,,,Fixation
4796.0,,,Saccade
4805.0,,,Saccade
4813.0,,,Saccade
4821.0,,,Unclassified
4830.0,,,Unclassified
4838.0,,,Saccade
4846.0,,,Saccade
4855.0,,,Saccade
4863.0,,,Saccade
4871.0,,,Fixation
4880.0,,,Fixation
4888.0,,,Fixation
4896.0,,,Fixation
4905.0,,,Fixation
4913.0,,,Fixation
4921.0,,,Fixation
4930.0,,,Fixation
4938.0,,,Fixation
4946.0,,,Fixation
4955.0,,,Fixation
4963.0,,,Fixation
4971.0,,,Fixation
4980.0,,,Fixation
4988.0,,,Fixation
4996.0,,,Fixation
5004.0,,,Fixation
5013.0,,,Fixation
5021.0,,,Fixation
5030.0,,,Fixation
5038.0,,,Fixation
5046.0,,,Fixation
5055.0,,,Fixation
5063.0,,,Fixation
5071.0,,,Fixation
5080.0,,,Saccade
5088.0,,,Saccade
5096.0,,,Saccade
5104.0,,,Fixation
5113.0,,,Fixation
5121.0,,,Fixation
5129.0,,,Fixation
5138.0,,,Fixation
5146.0,,,Fixation
5154.0,,,Fixation
5163.0,,,Fixation
5171.0,,,Fixation
5179.0,,,Fixation
5188.0,,,Fixation
5196.0,,,Fixation
5204.0,,,Fixation
5213.0,,,Fixation
5221.0,,,Fixation
5229.0,,,Fixation
5238.0,,,Fixation
5246.0,,,Fixation
5254.0,,,Fixation
5263.0,,,Saccade
5271.0,,,Saccade
5279.0,,,Fixation
5288.0,,,Fixation
5296.0,,,Fixation
5304.0,,,Fixation
5313.0,,,Fixation
5321.0,,,Fixation
5329.0,,,Fixation
5338.0,,,Fixation
5346.0,,,Fixation
5354.0,,,Fixation
5363.0,,,Fixation
5371.0,,,Fixation
5379.0,,,Saccade
5388.0,,,Saccade
5396.0,,,Saccade
5404.0,,,Saccade
5413.0,,,Saccade
5421.0,,,Saccade
5429.0,,,Fixation
5438.0,,,Fixation
5446.0,,,Fixation
5454.0,,,Fixation
5463.0,,,Fixation
5471.0,,,Fixation
5479.0,,,Fixation
5488.0,,,Fixation
5496.0,,,Fixation
5504.0,,,Fixation
5513.0,,,Fixation
5521.0,,,Fixation
5529.0,,,Fixation
5538.0,,,Fixation
5546.0,,,Fixation
5554.0,,,Fixation
5563.0,,,Fixation
5571.0,,,Fixation
5579.0,,,Fixation
5588.0,,,Fixation
5596.0,,,Fixation
5604.0,,,Fixation
5613.0,,,Fixation
5621.0,,,Fixation
5629.0,,,Fixation
5638.0,,,Fixation
5646.0,,,Fixation
5654.0,,,Fixation
5663.0,,,Fixation
5671.0,,,Fixation
5679.0,,,Fixation
5688.0,,,Fixation
5696.0,,,Fixation
5704.0,,,Fixation
5713.0,,,Fixation
5721.0,,,Fixation
5729.0,,,Fixation
5738.0,,,Saccade
5746.0,,,Saccade
5754.0,,,Saccade
5763.0,,,Fixation
5771.0,,,Fixation
5779.0,,,Fixation
5788.0,,,Fixation
5796.0,,,Fixation
5805.0,,,Fixation
5813.0,,,Fixation
5821.0,,,Fixation
5830.0,,,Fixation
5838.0,,,Fixation
5846.0,,,Fixation
5855.0,,,Fixation
5863.0,,,Fixation
5871.0,,,Fixation
5880.0,,,Fixation
5888.0,,,Fixation
5896.0,,,Fixation
5905.0,,,Fixation
5913.0,,,Fixation
5921.0,,,Fixation
5930.0,,,Fixation
5938.0,,,Fixation
5946.0,,,Fixation
5955.0,,,Saccade
5963.0,,,Saccade
5971.0,,,Saccade
5980.0,,,Saccade
5988.0,,,Fixation
5996.0,,,Fixation
6005.0,,,Fixation
6013.0,,,Fixation
6021.0,,,Fixation
6030.0,,,Fixation
6038.0,,,Fixation
6046.0,,,Fixation
6055.0,,,Fixation
6063.0,,,Fixation
6071.0,,,Fixation
6080.0,,,Fixation
6088.0,,,Fixation
6096.0,,,Fixation
6105.0,,,Fixation
6113.0,,,Fixation
6121.0,,,Fixation
6130.0,,,Fixation
6138.0,,,Fixation
6146.0,,,Fixation
6155.0,,,Fixation
6163.0,,,Fixation
6171.0,,,Fixation
6175.0,KeyboardEvent,LeftWindowsKey,Fixation
6180.0,,,Fixation
6188.0,,,Fixation
6196.0,,,Fixation
6205.0,,,Fixation
6213.0,,,Fixation
6221.0,,,Fixation
6230.0,,,Fixation
6238.0,,,Fixation
6246.0,,,Fixation
6255.0,,,Fixation
6263.0,,,Fixation
6271.0,,,Fixation
6280.0,,,Fixation
6288.0,,,Fixation
6296.0,,,Fixation
6305.0,,,Fixation
6313.0,,,Fixation
6321.0,,,Fixation
6330.0,,,Fixation
6338.0,,,Fixation
6346.0,,,Fixation
6355.0,,,Fixation
6363.0,,,Fixation
6371.0,,,Fixation
6380.0,,,Fixation
6388.0,,,Fixation
6396.0,,,Fixation
6405.0,,,Fixation
6413.0,,,Fixation
6421.0,,,Fixation
6430.0,,,Fixation
6438.0,,,Fixation
6446.0,,,Fixation
6455.0,,,Fixation
6463.0,,,Fixation
6471.0,,,Fixation
6480.0,,,Fixation
6488.0,,,Fixation
6496.0,,,Fixation
6505.0,,,Fixation
6513.0,,,Fixation
6521.0,,,Fixation
6530.0,,,Saccade
6538.0,,,Saccade
6546.0,,,Saccade
6555.0,,,Saccade
6563.0,,,Saccade
